,CVE_ENT,CVE_MUN,POB_NIÑOS,POB_NIÑOS_PER
0,01,008,2099.0,0.21974455611390284
1,01,009,4629.0,0.20587058038692463
2,01,007,11873.0,0.20695846188708186
3,01,006,9495.0,0.19928220627125048
4,01,005,25433.0,0.19574536862440256
5,01,004,3523.0,0.20723529411764705
6,01,003,11162.0,0.19162231759656653
7,01,002,10894.0,0.21138621546103695
8,01,001,158576.0,0.16709975869081867
9,01,010,4182.0,0.20054668393036973
10,01,011,13612.0,0.21955901091988322
11,02,004,289798.0,0.15073837868259574
12,02,003,16783.0,0.15476761342677978
13,02,002,148242.0,0.14121083033591417
14,02,006,24932.0,0.21206450734893847
15,02,001,67821.0,0.1528164269603679
16,02,005,18379.0,0.1448419891244385
17,03,008,62395.0,0.177707334717511
18,03,001,11367.0,0.15566754769175992
19,03,003,41363.0,0.14153729285076358
20,03,009,2909.0,0.16114557943718147
21,03,002,11354.0,0.17734528755740214
22,04,011,10209.0,0.21761558629804106
23,04,003,40791.0,0.16392131648214753
24,04,004,14980.0,0.19163361903543558
25,04,002,44416.0,0.15103527307473893
26,04,012,2479.0,0.16205791985356605
27,04,006,8694.0,0.206312292358804
28,04,007,1570.0,0.1808130830358171
29,04,008,1998.0,0.17446734194900454
30,04,009,12138.0,0.20255995193832085
31,04,005,5597.0,0.1753610928345396
32,04,010,7784.0,0.24544365264551932
33,04,001,10294.0,0.17379119394921663
34,05,010,14896.0,0.1807569561577012
35,05,008,589.0,0.19330489005579257
36,05,037,1217.0,0.19667097608274078
37,05,031,4241.0,0.1712912476271255
38,05,038,2497.0,0.1901027788351732
39,05,013,395.0,0.2276657060518732
40,05,018,40790.0,0.17142184735512775
41,05,030,156548.0,0.17790394541557666
42,05,028,11239.0,0.1734119208159109
43,05,001,145.0,0.14187866927592954
44,05,023,1835.0,0.19031321302634308
45,05,022,6431.0,0.19411995532614928
46,05,012,275.0,0.16737674984783932
47,05,009,11421.0,0.19346150588633862
48,05,005,301.0,0.18320146074254412
49,05,004,5629.0,0.19031036581242816
50,05,002,30954.0,0.1898342920923843
51,05,034,1426.0,0.21144721233689207
52,05,003,4310.0,0.18693615544760583
53,05,035,118047.0,0.16376129225578762
54,05,014,1790.0,0.18838139339086507
55,05,027,23365.0,0.19113568875109413
56,05,026,567.0,0.17505402902130288
57,05,007,2494.0,0.19614628391663388
58,05,024,7937.0,0.17847184745457817
59,05,032,6924.0,0.16384287742546144
60,05,029,443.0,0.17927964386887899
61,05,033,19017.0,0.18821072633881294
62,05,025,31628.0,0.17937128176626382
63,05,006,5467.0,0.18768882175226587
64,05,021,1004.0,0.15354029668144975
65,05,011,2263.0,0.19020003361909565
66,05,036,3658.0,0.1801526717557252
67,05,016,278.0,0.15759637188208617
68,05,019,1405.0,0.1772199798183653
69,05,020,13222.0,0.18459519454954137
70,05,015,298.0,0.18813131313131312
71,05,017,21190.0,0.1790648740461563
72,06,007,30477.0,0.15953955117232282
73,06,004,3315.0,0.1590919998080338
74,06,009,20315.0,0.17467004857916685
75,06,005,4498.0,0.14385774138868457
76,06,008,1890.0,0.18473267520281497
77,06,002,21066.0,0.13413733380877185
78,06,010,22196.0,0.14820849080541126
79,06,001,4643.0,0.1680663143415623
80,06,003,3145.0,0.14519181939891973
81,06,006,817.0,0.145296105281878
82,07,078,41209.0,0.1908937621019669
83,07,085,2416.0,0.22185491276400368
84,07,017,17293.0,0.19627494154768121
85,07,088,508.0,0.22010398613518198
86,07,067,2828.0,0.23055600847872168
87,07,086,5027.0,0.19616029968392712
88,07,018,2299.0,0.23222222222222222
89,07,080,6325.0,0.2438601226047731
90,07,091,2818.0,0.20732783990582695
91,07,093,13534.0,0.28100992483700843
92,07,098,1638.0,0.227152960754403
93,07,100,9278.0,0.2439973701512163
94,07,105,3069.0,0.19171664167916042
95,07,112,11656.0,0.3071571624328028
96,07,049,10036.0,0.32105953485396205
97,07,050,908.0,0.1735474006116208
98,07,051,9284.0,0.20125731628007804
99,07,072,7751.0,0.26154001889593737
100,07,110,1766.0,0.2346532022322615
101,07,111,10847.0,0.2390628788045754
102,07,124,5534.0,0.23206273325785215
103,07,123,1950.0,0.18084021144393952
104,07,023,28202.0,0.2765796777388763
105,07,113,2565.0,0.30247641509433965
106,07,115,4082.0,0.27742286257985593
107,07,077,14233.0,0.22152184401799194
108,07,117,2072.0,0.24631478839752735
109,07,118,1716.0,0.28377707954357534
110,07,121,2506.0,0.287451250286763
111,07,070,2854.0,0.23273261029111963
112,07,063,834.0,0.2093899071051971
113,07,081,14935.0,0.2821384717105885
114,07,069,9460.0,0.18479088937940735
115,07,116,3408.0,0.26434998448650326
116,07,090,1038.0,0.2282823839894436
117,07,022,7024.0,0.32051106548026465
118,07,062,4327.0,0.23428447669067085
119,07,119,1506.0,0.30369026013309136
