,CVE_ENT,CVE_MUN,POB
252,08,065,17043.0
253,08,066,6512.0
254,08,043,2742.0
255,08,014,2034.0
256,08,003,8487.0
257,08,005,26093.0
258,08,042,1178.0
259,08,040,25144.0
260,08,039,4122.0
261,08,038,4980.0
262,08,035,11005.0
263,08,034,5196.0
264,08,033,824.0
265,08,032,116662.0
266,08,030,8196.0
267,08,028,4237.0
268,08,027,50180.0
269,08,026,2448.0
270,08,064,1448.0
271,08,024,3791.0
272,08,019,937674.0
273,09,017,443704.0
274,09,014,434153.0
275,09,009,152685.0
276,09,008,247622.0
277,09,007,1835486.0
278,09,003,614447.0
279,09,011,392313.0
280,09,012,699928.0
281,09,006,404695.0
282,09,013,442178.0
283,09,010,759137.0
284,09,015,545884.0
285,09,005,1173351.0
286,09,004,217686.0
287,09,016,414470.0
288,09,002,432205.0
289,10,011,4748.0
290,10,012,163313.0
291,10,031,6727.0
292,10,001,31454.0
293,10,005,688697.0
294,10,036,21143.0
295,10,014,48583.0
296,10,038,23476.0
297,10,017,8003.0
298,10,030,1633.0
299,10,033,6917.0
300,10,021,11118.0
301,10,024,12818.0
302,10,037,9320.0
303,10,034,26300.0
304,10,039,27981.0
305,10,022,25623.0
306,10,028,12013.0
307,10,023,51269.0
308,10,025,2837.0
309,10,027,5251.0
310,10,035,11378.0
311,10,010,3843.0
312,10,009,9869.0
313,10,008,36695.0
314,10,006,10038.0
315,10,004,34955.0
316,10,003,4084.0
317,10,032,49207.0
318,10,007,372750.0
319,10,015,12894.0
320,10,002,4321.0
321,10,019,4924.0
322,10,026,17333.0
323,10,013,26932.0
324,10,016,19060.0
325,10,018,10384.0
326,10,020,12656.0
327,10,029,2103.0
328,11,037,203556.0
329,11,021,47261.0
330,11,006,5296.0
331,11,029,41054.0
332,11,020,1721215.0
333,11,001,92040.0
334,11,019,49517.0
335,11,030,119793.0
336,11,007,521169.0
337,11,036,6714.0
338,11,018,38782.0
339,11,045,11143.0
340,11,015,194500.0
341,11,038,11304.0
342,11,012,30857.0
343,11,003,174615.0
344,11,034,5723.0
345,11,010,11083.0
346,11,046,68741.0
347,11,039,35905.0
348,11,009,82216.0
349,11,035,82340.0
350,11,004,63392.0
351,11,024,12403.0
352,11,040,20007.0
353,11,041,61494.0
354,11,008,41240.0
355,11,044,65791.0
356,11,028,94126.0
357,11,022,26383.0
358,11,032,89558.0
359,11,013,27390.0
360,11,011,97928.0
361,11,002,108697.0
362,11,027,273417.0
363,11,026,65766.0
364,11,014,163038.0
365,11,042,150054.0
366,11,017,592953.0
367,11,016,21128.0
368,11,005,117883.0
369,11,025,83842.0
370,11,033,128536.0
371,11,023,154960.0
372,11,043,21253.0
373,11,031,130871.0
374,12,080,7559.0
375,12,043,18859.0
376,12,079,18381.0
377,12,012,69123.0
378,12,013,15099.0
379,12,018,14463.0
380,12,007,33267.0
381,12,006,11112.0
382,12,064,11681.0
383,12,019,15598.0
384,12,068,26349.0
385,12,015,12982.0
386,12,014,15442.0
387,12,010,28491.0
388,12,005,7813.0
389,12,011,60680.0
390,12,048,44583.0
391,12,053,50124.0
392,12,054,24139.0
393,12,047,7076.0
394,12,049,12753.0
395,12,050,38482.0
396,12,051,36143.0
397,12,052,46270.0
398,12,004,21225.0
399,12,045,28446.0
400,12,046,68207.0
401,12,040,26357.0
402,12,041,29625.0
403,12,042,18613.0
404,12,044,12402.0
405,12,038,126001.0
406,12,039,26093.0
407,12,002,25205.0
408,12,003,37655.0
409,12,036,11739.0
410,12,034,36593.0
411,12,035,154173.0
412,12,031,6278.0
413,12,032,37254.0
414,12,033,17488.0
415,12,028,123722.0
416,12,029,283354.0
417,12,008,9147.0
418,12,009,5811.0
419,12,025,17024.0
420,12,026,8272.0
421,12,059,30806.0
422,12,061,43171.0
423,12,062,22781.0
424,12,016,12408.0
425,12,017,15579.0
426,12,020,21648.0
427,12,021,73056.0
428,12,022,38554.0
429,12,023,26627.0
430,12,060,13552.0
431,12,063,10092.0
432,12,066,96125.0
433,12,073,18031.0
434,12,065,7602.0
435,12,001,779566.0
436,12,069,11966.0
437,12,070,7862.0
438,12,071,29891.0
439,12,072,12004.0
440,12,074,21977.0
441,12,075,53126.0
442,12,076,40197.0
443,12,077,14280.0
444,12,078,21241.0
445,12,024,7874.0
446,12,027,20537.0
447,12,037,6138.0
448,12,055,105586.0
449,12,056,46063.0
450,12,057,65237.0
451,12,058,53817.0
452,12,030,22250.0
453,12,081,11679.0
454,12,067,22209.0
455,13,030,98654.0
456,13,008,46681.0
457,13,065,11768.0
458,13,009,19836.0
459,13,010,31525.0
460,13,025,20673.0
461,13,036,9449.0
